date,Canada,Germany,Japan,Mexico,Rep. of Korea,Total,Japan_share,Mexico_share,Rep. of Korea_share,Germany_share,Canada_share
2020-01-01,109031.0,21331.0,121720.0,123161.0,81611.0,456854.0,0.2664308509939718,0.26958503154180546,0.17863693871565095,0.046691065416960345,0.2386561133316114
2020-02-01,122149.0,23550.0,130305.0,169449.0,64551.0,510004.0,0.2554979960941483,0.3322503352914879,0.12656959553258407,0.04617610842267904,0.2395059646591007
2020-03-01,110015.0,35927.0,149282.0,185980.0,65245.0,546449.0,0.2731856037800417,0.3403428316274712,0.11939815060508849,0.06574630020367866,0.20132711378371998
2020-04-01,6832.0,19970.0,97649.0,45235.0,72596.0,242282.0,0.4030386079031872,0.18670392352712956,0.2996343104316458,0.08242461264146739,0.028198545496570113
2020-05-01,15647.0,5333.0,53752.0,11702.0,49428.0,135862.0,0.39563674905418733,0.0861315158027999,0.3638103369595619,0.0392530656106932,0.11516833257275765
2020-06-01,111370.0,9734.0,38326.0,109216.0,59189.0,327835.0,0.11690637058276267,0.3331431970350939,0.18054509128067472,0.029691765674805925,0.3397135754266628
2020-07-01,103455.0,18120.0,87970.0,149734.0,76456.0,435735.0,0.20188876266538147,0.3436354665106085,0.1754644451329363,0.04158490825845984,0.23742641743261386
2020-08-01,120833.0,21927.0,126901.0,159627.0,77762.0,507050.0,0.2502731486046741,0.31481510699142096,0.15336160141997832,0.04324425599053348,0.23830588699339317
2020-09-01,134093.0,25908.0,126811.0,151160.0,65365.0,503337.0,0.25194054877745925,0.30031569306448763,0.12986329238661176,0.051472472717086167,0.26640799305435525
2020-10-01,138702.0,32711.0,155988.0,172134.0,99815.0,599350.0,0.26026195044631684,0.2872011345624427,0.1665387503128389,0.05457745891382331,0.2314207057645783
2020-11-01,131956.0,22877.0,158370.0,156911.0,81949.0,552063.0,0.286869433379886,0.284226619063404,0.14844139165276427,0.04143911111594148,0.23902344478800427
2020-12-01,122478.0,49434.0,161206.0,179645.0,80278.0,593041.0,0.27182943506435475,0.30292172042067916,0.13536669471419346,0.08335679995143674,0.20652534984933588
2021-01-01,91188.0,28073.0,127028.0,132304.0,75994.0,454587.0,0.2794360595441577,0.2910421987430349,0.1671715205230242,0.06175495559705843,0.20059526559272484
2021-02-01,84176.0,20691.0,108626.0,124060.0,73301.0,410854.0,0.26439075681385604,0.30195641274029217,0.1784113091268431,0.0503609554732338,0.2048805658457749
2021-03-01,101403.0,30555.0,135342.0,136233.0,75257.0,478790.0,0.2826750767559891,0.2845360178784018,0.15718164539777355,0.06381712232920488,0.21179013763863072
2021-04-01,63928.0,29883.0,127221.0,136847.0,77523.0,435402.0,0.29219204321523556,0.3143003477246315,0.17804925103697272,0.06863312524976918,0.14682523277339102
2021-05-01,57053.0,32590.0,100216.0,126354.0,80480.0,396693.0,0.2526286070084423,0.3185183504624483,0.2028772879783611,0.08215420993060124,0.14382154462014707
2021-06-01,89576.0,18232.0,116236.0,125603.0,67972.0,417619.0,0.2783302483842929,0.30075978343897186,0.16276079392939496,0.043657017520754564,0.21449215672658573
2021-07-01,72574.0,21255.0,137972.0,106160.0,72819.0,410780.0,0.3358780855932616,0.25843517211159256,0.17727007157115732,0.05174302546375189,0.17667364526023663
2021-08-01,83941.0,18370.0,120406.0,111985.0,71647.0,406349.0,0.2963117910958314,0.27558822588464593,0.17631887859943055,0.04520744483190558,0.20657365958818652
2021-09-01,57117.0,12621.0,79968.0,108131.0,64285.0,322122.0,0.24825376720621378,0.3356833746220376,0.19956724470852658,0.039180807271779014,0.177314806191443
2021-10-01,86798.0,26964.0,74402.0,114204.0,50420.0,352788.0,0.21089719604975227,0.3237184938263206,0.1429186933795934,0.07643117112826966,0.24603444561606405
2021-11-01,95389.0,27500.0,99050.0,134143.0,57765.0,413847.0,0.23933965934270396,0.3241366978617702,0.1395805696308056,0.0664496782627396,0.23049339490198067
2021-12-01,98503.0,31355.0,127105.0,132123.0,59038.0,448124.0,0.2836380109076952,0.2948358043755746,0.13174478492560096,0.06996947273522507,0.21981192705590416
2022-01-01,71406.192,38878.166,113005.819,140361.233,54472.929,418124.33900000004,0.2702684547622089,0.33569256775554507,0.13027925886897485,0.09298230782972908,0.17077741078354206
2022-02-01,64816.837,25919.071,84260.197,133549.282,55315.863,363861.25,0.23157232873794611,0.3670335381962218,0.15202460553301567,0.07123339184922824,0.1781361356835882
2022-03-01,98973.661,62944.706,110887.523,159620.068,49771.053,482197.011,0.22996310734078773,0.3310266641200727,0.10321725739606462,0.13053732097895562,0.2052556501641193
2022-04-01,87373.518,51780.635,75613.811,158308.887,64418.26,437495.111,0.1728334993896652,0.36185292822620824,0.14724338256662256,0.11835705976609188,0.19971313005141217
2022-05-01,74934.081,55289.06,74741.524,143440.917,70849.395,419254.977,0.17827224028398356,0.3421328901719871,0.16898879890935678,0.1318745465960205,0.17873152403865203
2022-06-01,79014.939,45599.012,72112.193,159803.644,50082.558,406612.346,0.17734875418662274,0.3930122771038536,0.12317028366866163,0.11214369767316411,0.19432498736769788
2022-07-01,58696.866,48176.741,90877.33,147331.379,69734.184,414816.5,0.2190783876726215,0.3551724172013408,0.1681085106306041,0.11613988594957048,0.14150079854586306
2022-08-01,69835.983,54171.889,106610.243,162269.664,66491.515,459379.294,0.2320745501428717,0.35323678302313727,0.14474208103946454,0.1179240982507148,0.15202248754381165
2022-09-01,71716.69,44706.733,84161.249,174961.677,72573.895,448120.24400000006,0.18780952239238713,0.39043466422820206,0.161951833178061,0.09976503761789435,0.16003894258345533
2022-10-01,69835.648,70907.729,105643.275,167651.49,78178.842,492216.984,0.21462744771927658,0.34060484593111884,0.1588300374454369,0.14405786737338588,0.1418798015307818
2022-11-01,83742.255,61585.734,85462.412,154925.206,79205.751,464921.358,0.18382122165271658,0.3332288425433017,0.17036376074596254,0.13246484150551757,0.1801213335525016
2022-12-01,92996.723,62047.716,123075.66,160442.841,89614.618,528177.5580000001,0.23301948016503948,0.3037668650813823,0.16966759878881485,0.11747510862625479,0.17607094733850842
2023-01-01,90228.0,32119.0,98793.0,132950.0,85773.0,439863.0,0.22459947756460535,0.30225320156503277,0.19499935207098573,0.07302046318967496,0.2051275056097012
2023-02-01,82719.0,27137.0,98255.0,124412.0,90249.0,422772.0,0.23240659267879613,0.29427682060306737,0.21346967159603758,0.06418826223117897,0.19565865289091994
2023-03-01,97318.0,34653.0,116663.0,164642.0,100538.0,513814.0,0.22705298026133972,0.3204311287742257,0.1956700284538763,0.0674426932703274,0.1894031692402309
2023-04-01,94440.0,36457.0,115859.0,152181.0,108728.0,507665.0,0.22821939664936522,0.2997665783538357,0.2141727320181616,0.07181310509883486,0.18602818787980263
2023-05-01,101720.0,34229.0,107011.0,165218.0,106482.0,514660.0,0.20792562079819688,0.32102358838845063,0.20689775774297595,0.06650798585473905,0.1976450472156375
2023-06-01,123312.0,32825.0,125922.0,161854.0,122155.0,566068.0,0.2224503063236219,0.2859267791148767,0.21579562879371383,0.05798773292254641,0.2178395528452412
2023-07-01,94775.0,32948.0,135620.0,176587.0,95713.0,535643.0,0.25319102461900933,0.32967293514523666,0.17868804408906677,0.061511118412823466,0.1769368777338638
2023-08-01,110759.0,34986.0,121530.0,165509.0,115302.0,548086.0,0.22173527512105765,0.301976332181446,0.21037209489021796,0.06383304809829114,0.20208324970898728
2023-09-01,111031.0,22105.0,126378.0,184635.0,115425.0,559574.0,0.2258468048908634,0.32995635965931225,0.20627298623595808,0.03950326498371976,0.1984205842301465
2023-10-01,115879.0,32625.0,148867.0,188248.0,103584.0,589203.0,0.2526582519097832,0.319495997135113,0.17580358552145864,0.05537140849588342,0.19667075693776168
2023-11-01,113125.0,28499.0,145411.0,175324.0,101936.0,564295.0,0.25768613934201084,0.310695646780496,0.18064310334133743,0.050503725888055004,0.20047138464810071
2023-12-01,100710.0,45343.0,125690.0,185600.0,119543.0,576886.0,0.21787666887391963,0.3217273430105775,0.2072211840814303,0.07859958466664124,0.17457521936743134
2024-01-01,89014.0,26036.0,133303.0,154279.0,134954.0,537586.0,0.2479659068502528,0.28698478010960105,0.2510370433753855,0.04843132075612088,0.16558094890863972
2024-02-01,94746.0,29064.0,116719.0,176011.0,121384.0,537924.0,0.21698046564198661,0.32720421472178224,0.22565269443267078,0.05402993731456488,0.17613268788899547
2024-03-01,88001.0,28380.0,106416.0,197584.0,131916.0,552297.0,0.19267893904909858,0.3577495441764123,0.23884974931965952,0.05138539590111842,0.15933637155371114
2024-04-01,78061.0,48466.0,120299.0,172286.0,147101.0,566213.0,0.2124624478773889,0.30427771880899945,0.25979799121532005,0.08559676305559921,0.1378650790426924
2024-05-01,92907.0,39484.0,106632.0,173423.0,148250.0,560696.0,0.19017792172585501,0.30929951346184026,0.2644035270449584,0.07041962132777833,0.16569941643956795
2024-06-01,79662.0,44400.0,101528.0,171082.0,148478.0,545150.0,0.186238649912868,0.3138255526002018,0.2723617353022104,0.08144547372282858,0.14612858846189122
2024-07-01,64367.0,38058.0,133037.0,164447.0,135319.0,535228.0,0.2485613607658792,0.30724663134215696,0.25282496431427354,0.07110614541840113,0.12026089815928913
2024-08-01,72024.0,35736.0,112736.0,159600.0,123029.0,503125.0,0.22407155279503105,0.31721739130434784,0.2445296894409938,0.07102807453416149,0.14315329192546583
2024-09-01,81837.0,33789.0,95289.0,200477.0,126187.0,537579.0,0.1772558079835708,0.3729256537178722,0.23473201148110323,0.06285401773506778,0.15223250908238603
2024-10-01,87849.0,36899.0,121276.0,192966.0,111851.0,550841.0,0.22016516562855706,0.3503116144223106,0.20305496504435944,0.06698666221287086,0.159481592691902
2024-11-01,82974.0,47176.0,112104.0,181403.0,117625.0,541282.0,0.20710830953181522,0.3351358441625622,0.21730816838542572,0.08715604804889134,0.15329162987130554
2024-12-01,72165.0,45407.0,128991.0,182230.0,108224.0,537017.0,0.2401990998422769,0.33933748838491146,0.20152807080595214,0.0845541202606249,0.13438122070623462
2025-01-01,81043.0,27074.0,119239.0,154250.0,134409.0,516015.0,0.23107661598984525,0.2989254188347238,0.26047498619226184,0.05246746703099716,0.15705551195217193
2025-02-01,68591.0,32733.0,104841.0,151458.0,99132.0,456755.0,0.22953443312060076,0.33159571323795034,0.21703539096452146,0.07166424012873422,0.15017022254819323
2025-03-01,96618.0,43967.0,129217.0,188416.0,156622.0,614840.0,0.21016361980352613,0.30644720577711276,0.2547361915295036,0.07150966105002927,0.15714332183982824
2025-04-01,63620.0,33281.0,126127.0,111527.0,80577.0,415132.0,0.30382384398215506,0.26865430754555175,0.19409970804467014,0.08016968096894482,0.15325245945867821
2025-05-01,82483.0,40060.0,113148.0,170780.0,130379.0,536850.0,0.21076278290025147,0.3181149296824066,0.24285927167737728,0.0746204712675794,0.1536425444723852
2025-06-01,74058.0,28955.0,129535.0,185858.0,127360.0,545766.0,0.23734530916180194,0.3405452153487026,0.2333600847249554,0.053053872905237776,0.13569551785930234
2025-07-01,65037.0,37669.0,103835.0,212024.0,110012.0,528577.0,0.19644252398420664,0.4011222584410597,0.20812861702268542,0.07126492450484981,0.12304167604719843
